Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,1032.0,1032.0,1010.13330078125,1011.2000122070312,635.9879150390625,1433577
2014-01-03,1011.7332763671875,1027.199951171875,1010.13330078125,1022.9332885742188,643.3673706054688,917859
2014-01-06,1023.4666137695312,1033.066650390625,1019.2000122070312,1025.5999755859375,645.0446166992188,1248150
2014-01-07,1021.8665771484375,1044.800048828125,1021.8665771484375,1041.5999755859375,655.1077270507812,1597552
2014-01-08,1044.800048828125,1048.0,1038.933349609375,1043.7332763671875,656.449462890625,1566367
2014-01-09,1045.8665771484375,1051.7332763671875,1038.933349609375,1043.199951171875,656.1140747070312,1616886
2014-01-10,1049.5999755859375,1056.0,1044.2666015625,1053.8665771484375,662.8226928710938,1236612
2014-01-13,1056.0,1063.466552734375,1054.933349609375,1061.8665771484375,667.8543090820312,855999
2014-01-14,1050.6666259765625,1060.2666015625,1046.4000244140625,1055.466552734375,663.8289794921875,1233263
2014-01-15,1061.8665771484375,1077.333251953125,1056.5333251953125,1073.066650390625,674.8984375,1771081
2014-01-16,1070.933349609375,1077.333251953125,1062.4000244140625,1075.199951171875,676.2402954101562,1205153
2014-01-17,1074.13330078125,1105.066650390625,1073.702392578125,1098.6666259765625,690.9994506835938,2953319
2014-01-20,1097.5999755859375,1104.0,1089.066650390625,1102.933349609375,693.682861328125,1219294
2014-01-21,1104.0,1118.933349609375,1104.0,1114.6666259765625,701.0625610351562,1941144
2014-01-22,1112.5333251953125,1125.333251953125,1106.13330078125,1116.800048828125,702.4043579101562,2217663
2014-01-23,1118.933349609375,1125.333251953125,1108.2666015625,1116.800048828125,702.4043579101562,2084643
2014-01-24,1115.7332763671875,1122.13330078125,1115.7332763671875,1120.0,704.4170532226562,2660573
2014-01-27,1129.5999755859375,1141.333251953125,1118.933349609375,1125.333251953125,707.7714233398438,3121470
2014-01-28,1131.7332763671875,1140.2666015625,1114.6666259765625,1121.066650390625,705.0878295898438,2556302
2014-01-29,1126.4000244140625,1131.7332763671875,1101.8665771484375,1104.0,694.3536987304688,2539299
2014-01-30,1102.933349609375,1107.199951171875,1098.6666259765625,1104.0,694.3536987304688,1783294
2014-01-31,1101.8665771484375,1104.0,1085.8665771484375,1097.5999755859375,690.3286743164062,2493408
2014-02-03,1094.4000244140625,1101.8665771484375,1092.2666015625,1096.5333251953125,689.65771484375,1995728
2014-02-04,1091.199951171875,1094.4000244140625,1080.5333251953125,1081.5999755859375,680.2656860351562,2794355
2014-02-05,1082.6666259765625,1093.333251953125,1072.0,1086.933349609375,683.6198120117188,2397986
2014-02-06,1093.333251953125,1096.5333251953125,1083.7332763671875,1091.199951171875,686.3034057617188,2622267
2014-02-07,1092.2666015625,1104.0,1090.13330078125,1102.933349609375,693.682861328125,2139901
2014-02-10,1106.13330078125,1120.4959716796875,1102.4927978515625,1117.8665771484375,703.0750122070312,1377208
2014-02-11,1120.0,1132.800048828125,1115.7332763671875,1130.6666259765625,711.125732421875,1359750
2014-02-12,1131.7332763671875,1133.78125,1110.4000244140625,1112.5333251953125,699.7208251953125,2499398
2014-02-13,1112.5333251953125,1117.8665771484375,1101.8665771484375,1117.8665771484375,703.0750122070312,2200441
2014-02-14,1115.7332763671875,1121.066650390625,1110.4000244140625,1113.5999755859375,700.3917846679688,1624248
2014-02-17,1116.800048828125,1138.3199462890625,1114.6666259765625,1134.933349609375,713.8091430664062,1435575
2014-02-18,1140.2666015625,1153.066650390625,1129.685302734375,1152.0,724.5432739257812,1654005
