Date,Open,High,Low,Close,Adj Close,Volume
2024-02-08,1804.5,1825.0,1794.0,1802.5,1783.8472900390625,1143135
2024-02-09,1807.5,1815.5,1793.0,1801.0,1782.36279296875,579998
2024-02-12,1807.5,1830.0,1801.0,1814.0,1795.228271484375,318512
2024-02-13,1793.0,1815.5,1771.5,1792.5,1773.95068359375,1364676
2024-02-14,1819.0,1836.0,1801.427978515625,1801.5,1782.857666015625,475730
2024-02-15,1825.5,1836.5,1800.5,1801.0,1782.36279296875,462778
2024-02-16,1810.0,1871.5,1810.0,1870.5,1851.1435546875,980004
2024-02-19,1860.5,1868.0,1853.5,1860.0,1840.752197265625,301256
2024-02-20,1851.0,1855.5,1822.0,1838.5,1819.4747314453125,566565
2024-02-21,1841.0,1856.5,1831.0,1854.5,1835.3092041015625,356869
2024-02-22,1861.0,1876.0,1850.5,1866.0,1846.690185546875,647679
2024-02-23,1828.5,1885.5,1828.5,1862.5,1843.226318359375,1270811
2024-02-26,1871.5,1875.5,1848.0,1857.5,1838.278076171875,1679271
2024-02-27,1868.5,1872.0,1857.0,1863.0,1843.72119140625,252775
2024-02-28,1876.5,1877.5,1854.0,1876.5,1857.08154296875,2506657
2024-02-29,1897.5,1897.5,1773.5,1833.0,1814.0316162109375,2161353
2024-03-01,1841.5,1852.0,1827.0,1852.0,1832.8349609375,1184945
2024-03-04,1845.0,1862.0,1817.5,1852.0,1832.8349609375,538784
2024-03-05,1836.5,1886.0,1832.0,1880.0,1860.5452880859375,972660
2024-03-06,1885.0,1936.0,1881.0,1928.0,1908.048583984375,1701850
2024-03-07,1927.5,1941.0,1906.0,1908.0,1888.2554931640625,931193
2024-03-08,1918.0,1945.0,1894.5,1918.0,1898.1519775390625,784532
2024-03-11,1901.0,1910.260009765625,1884.0,1893.5,1873.905517578125,450027
2024-03-12,1914.0,1932.5,1901.5,1932.5,1912.501953125,704969
2024-03-13,1936.5,1953.5,1907.5,1953.5,1933.28466796875,1063575
2024-03-14,1964.0,1986.5,1945.5,1986.0,1965.4483642578125,1501031
2024-03-15,1980.0,2028.0,1978.5,2010.0,1989.199951171875,1912192
2024-03-18,2010.0,2015.0,1993.0,2000.0,1979.303466796875,948302
2024-03-19,1990.0,2005.6400146484375,1981.5,1996.5,1975.8397216796875,2083691
2024-03-20,1960.5,1981.5,1945.0,1951.0,1930.810546875,631391
2024-03-21,1978.0,2023.0,1964.0,2015.0,1994.1483154296875,883803
2024-03-22,2028.0,2031.0,2005.0,2025.0,2004.0447998046875,907774
2024-03-25,2028.0,2034.0,1988.5,2012.0,1991.1793212890625,1797259
2024-03-26,2000.0,2024.0,2000.0,2017.0,1996.1275634765625,927979
2024-03-27,2017.0,2021.0,2008.0,2021.0,2000.086181640625,1112036
2024-03-28,2036.0,2036.0,2013.0,2022.0,2001.0758056640625,637606
2024-04-02,2040.0,2048.010009765625,2004.0,2004.0,1983.2620849609375,1078318
2024-04-03,2000.0,2042.0,1999.0,2042.0,2020.868896484375,1143872
2024-04-04,2032.0,2074.0,2028.0,2074.0,2052.53759765625,634155
2024-04-05,2040.0,2056.0,2032.0,2044.0,2022.84814453125,2343303
2024-04-08,2050.0,2052.0,2018.0,2030.0,2008.9930419921875,683922
2024-04-09,2026.0,2086.0,2024.0,2054.0,2032.74462890625,1615942
2024-04-10,2070.0,2094.0,2048.0,2070.0,2048.5791015625,717258
2024-04-11,2026.0,2066.0,2026.0,2046.0,2024.8275146484375,1578815
2024-04-12,2058.0,2072.0,2030.0,2030.0,2008.9930419921875,2525916
2024-04-15,2026.0,2074.0,2004.0,2046.0,2024.8275146484375,969646
2024-04-16,2010.0,2018.0,1984.0,2008.0,1987.220703125,769285
2024-04-17,1996.0,2024.0,1995.0,2010.0,1989.199951171875,607994
2024-04-18,2048.0,2048.0,1979.0,1993.0,1993.0,3026741
2024-04-19,1981.0,1984.0,1953.0,1980.0,1980.0,3388919
2024-04-22,2000.0,2022.0,1971.0,1995.0,1995.0,899696
2024-04-23,2004.0,2030.0,2002.0,2012.0,2012.0,530042
2024-04-24,2014.0,2014.0,1985.0,1990.0,1990.0,441573
2024-04-25,1970.0,2012.0,1948.0,1967.0,1967.0,1052454
